t_sec,symbol,bid,bid_size,ask,ask_size
1949.646,S1,330.00,150,335.00,1000
1954.607,S1,330.00,150,335.00,900
1957.342,S1,330.00,100,335.00,900
1959.957,S1,330.00,50,335.00,900
1965.121,S1,330.00,50,335.00,700
1970.162,S1,250.00,110,335.00,700
1972.359,S1,210.00,110,335.00,700
1973.213,S1,200.00,2710,335.00,700
1974.231,S1,200.00,1710,335.00,700
1975.332,S1,200.00,710,335.00,700
1975.694,S1,200.00,710,300.00,1000
1975.755,S1,200.00,710,300.00,2000
1975.896,S1,200.00,710,300.00,3000
1976.020,S1,200.00,710,300.00,4000
1976.734,S1,200.00,710,300.00,5000
1977.035,S1,200.00,610,300.00,5000
1979.041,S1,160.00,810,300.00,5000
1982.741,S1,160.00,810,300.00,4000
1982.934,S1,160.00,810,300.00,3000
1983.085,S1,160.00,810,300.00,2420
1983.463,S1,160.00,810,300.00,1420
1983.473,S1,160.00,810,300.00,420
1983.522,S1,160.00,810,330.00,420
1984.573,S1,160.00,810,335.00,120
1984.582,S1,160.00,810,340.00,4620
1984.582,S1,160.00,810,340.00,3620
1984.582,S1,160.00,810,340.00,2620
1984.582,S1,160.00,810,340.00,1620
1984.582,S1,160.00,810,340.00,620
1984.582,S1,160.00,810,360.00,620
1985.236,S1,170.00,600,360.00,620
1986.202,S1,300.00,1000,360.00,620
1992.565,S1,300.00,1000,400.00,4020
1992.980,S1,300.00,1000,399.00,1000
1997.700,S1,300.00,1000,400.00,4020
2000.683,S1,300.00,1000,400.00,3020
2003.018,S1,300.00,1000,400.00,2020
2005.045,S1,300.00,1000,400.00,1020
2007.182,S1,370.00,1000,400.00,1020
2008.395,S1,370.00,1000,400.00,2020
2012.788,S1,370.00,1000,390.00,60
2014.670,S1,370.00,750,390.00,60
2020.195,S1,370.00,750,400.00,3080
2022.130,S1,370.00,750,400.00,2080
2023.153,S1,370.00,500,400.00,2080
2023.307,S1,370.00,500,400.00,1080
2025.642,S1,370.00,250,400.00,1080
2026.116,S1,370.00,250,390.00,1000
2027.708,S1,370.00,250,400.00,1080
2028.273,S1,350.00,1000,400.00,1080
2028.910,S1,350.00,1000,390.00,1000
2030.729,S1,380.00,1000,390.00,1000
2031.533,S1,380.00,750,390.00,1000
2032.802,S1,380.00,500,390.00,1000
2032.972,S1,380.00,250,390.00,1000
2033.150,S1,350.00,1000,390.00,1000
2033.732,S1,350.00,500,390.00,1000
2035.023,S1,350.00,500,400.00,1080
2037.160,S1,350.00,500,390.00,1000
2041.113,S1,350.00,500,430.00,200
2043.944,S1,350.00,500,440.00,200
2044.105,S1,381.00,1000,440.00,200
2049.609,S1,381.00,1000,430.00,1000
2053.014,S1,400.00,1000,430.00,1000
