id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
3833,3223.387,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3834,3223.587,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3835,3223.777,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3836,3224.011,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3837,3224.211,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3838,3225.802,S1,1500.00,382,buy,T-025,T-035,500.00,1500.00
3839,3225.802,S1,1500.00,618,buy,T-025,T-035,500.00,1500.00
3840,3225.962,S1,1500.00,382,buy,T-025,T-035,500.00,1500.00
3841,3225.962,S1,1500.00,100,buy,T-025,T-038,500.00,1500.00
3842,3225.962,S1,1600.00,300,buy,T-025,T-012,500.00,1500.00
3843,3225.962,S1,2000.00,100,buy,T-025,T-032,500.00,1500.00
3844,3225.962,S1,2000.00,118,buy,T-025,T-035,500.00,1500.00
3845,3226.115,S1,2000.00,882,buy,T-025,T-035,500.00,2000.00
3846,3226.115,S1,2000.00,118,buy,T-025,T-032,500.00,2000.00
3847,3226.265,S1,500.00,120,sell,T-027,T-014,500.00,2000.00
3848,3226.265,S1,2000.00,882,buy,T-025,T-032,500.00,2000.00
3849,3226.265,S1,2999.00,118,buy,T-025,T-001,500.00,2000.00
3850,3226.427,S1,2999.00,882,buy,T-025,T-001,500.00,2999.00
3851,3226.427,S1,3000.00,118,buy,T-025,T-035,500.00,2999.00
3852,3226.448,S1,500.00,80,sell,T-027,T-014,500.00,3000.00
3853,3226.448,S1,400.00,40,sell,T-023,T-014,500.00,3000.00
3854,3226.601,S1,3000.00,882,buy,T-025,T-035,400.00,3000.00
3855,3226.601,S1,3200.00,118,buy,T-025,T-012,400.00,3000.00
3856,3226.621,S1,400.00,60,sell,T-023,T-014,400.00,3200.00
3857,3226.621,S1,400.00,60,sell,T-023,T-014,400.00,3200.00
3858,3226.816,S1,400.00,120,sell,T-023,T-014,400.00,1200.00
3859,3226.887,S1,1200.00,1000,buy,T-025,T-016,400.00,1200.00
3860,3226.917,S1,400.00,820,sell,T-023,T-022,400.00,3200.00
3861,3226.917,S1,400.00,180,sell,T-023,T-022,400.00,3200.00
3862,3227.036,S1,400.00,120,sell,T-023,T-014,400.00,3200.00
3863,3227.220,S1,400.00,120,sell,T-023,T-014,400.00,3200.00
3864,3227.403,S1,400.00,120,sell,T-023,T-014,400.00,1300.00
3865,3227.596,S1,400.00,120,sell,T-023,T-014,400.00,1300.00
3866,3227.787,S1,400.00,120,sell,T-023,T-014,400.00,1300.00
3867,3227.980,S1,400.00,120,sell,T-023,T-014,400.00,1300.00
3868,3228.181,S1,400.00,100,sell,T-023,T-014,400.00,1300.00
3869,3228.181,S1,400.00,20,sell,T-023,T-014,400.00,1300.00
3870,3229.289,S1,400.00,120,sell,T-023,T-014,400.00,1300.00
